Date,Open,High,Low,Close,Volume,Adj Close,TR,ATR,DM+1,DM-1,TR14,DM+14,DM-14,DI+14,DI-14,DI 14 Diff,DI 14 sum,DX,ADX,12 day SMA,12 day constant,12 day EMA,9 day SMA,9 day constant,9 day EMA,26 day SMA,26 day constant,26 day EMA,20 day SMA,20 day constant,20 day EMA,MACD,MACD SIGNAL,MACD Diff,TP,TP SMA 20,mean deviation,CCI,20 SMA,ST dev,Upper BB,Lower BB,bandwidth,KC Upper,KC lower,KC width,BB<KC,CCI cross,CCI above,DI cross,DI above,MA cross,MA above,CCI 3 cross,DI 3 cross,MA 3 cross,price>kc,Buy,Buy 2,Buy 3,Buy 4,modified 4,Modified count,sell,sell 2,sell 3,PRICE IN,Price in 2,Price in 3,Price in 4,PRICE OUT,Price out 2,Price out 3,1&4,4,2 & 4,"1,3,4",Sums,strength,uptrend 5,Volume,volume +
4/21/1983,21.62,22.23,21.54,22.06,161600,2.92,0.69,0.572,0.61,0,,,,,,,,,,21.14916667,0.153846154,21.14916667,21.57,0.2,21.34760889,,0.074074074,,,0.095238095,,,,,21.94333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,1,89405.49451,1
4/22/1983,21.97,21.97,21.36,21.54,64800,2.85,0.7,0.607,0,0.18,,,,,,,,,,21.29166667,0.153846154,21.20929487,21.61555556,0.2,21.38608711,,0.074074074,,,0.095238095,,,,,21.62333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0,89025.27473,0
4/25/1983,21.02,21.36,20.67,20.67,87600,2.74,0.87,0.59,0,0.69,,,,,,,,,,21.36916667,0.153846154,21.12632643,21.48777778,0.2,21.24286969,,0.074074074,,,0.095238095,,,,,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0,88986.81319,0
4/26/1983,20.49,20.84,20.15,20.23,85200,2.68,0.69,0.59,0,0.52,,,,,,,,,,21.38083333,0.153846154,20.98843006,21.28222222,0.2,21.04029575,,0.074074074,,,0.095238095,,,,,20.40666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0,88869.23077,0
4/27/1983,19.97,20.49,19.37,19.54,96000,2.59,1.12,0.676,0,0.78,9.45,2.86,3.41,30.26455026,36.08465608,5.82010582,66.34920635,8.771929825,,21.24833333,0.153846154,20.76559466,21.04777778,0.2,20.7402366,,0.074074074,,,0.095238095,,,,,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0,88760.43956,1
4/28/1983,19.8,20.15,19.45,19.89,480000,2.63,0.7,0.685,0,0,9.475,2.655714286,3.166428571,28.02864681,33.4187712,5.390124387,61.44741802,8.771929825,,21.0875,0.153846154,20.63088779,20.93,0.2,20.57018928,,0.074074074,,,0.095238095,,,,,19.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0,88626.37363,1
4/29/1983,20.06,20.23,19.8,20.06,200400,2.66,0.43,0.658,0.08,0,9.228214286,2.546020408,2.940255102,27.58952414,31.86158244,4.272058295,59.45110658,7.185834783,,20.91916667,0.153846154,20.5430589,20.78555556,0.2,20.46815142,,0.074074074,,,0.095238095,,,,,20.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0,87381.31868,1
5/2/1983,19.8,20.15,19.45,20.15,70400,2.67,0.7,0.668,0,0.35,9.269056122,2.364161808,3.08023688,25.50596065,33.23139746,7.725436802,58.73735811,13.15250983,,20.79416667,0.153846154,20.4825883,20.63111111,0.2,20.40452114,,0.074074074,,,0.095238095,,,,,19.91666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0,86903.2967,0
5/3/1983,19.45,19.71,19.28,19.54,107200,2.59,0.87,0.703,0,0.17,9.476980685,2.195293107,3.03021996,23.16447801,31.97452924,8.81005123,55.13900725,15.97789236,,20.67666667,0.153846154,20.33757472,20.40888889,0.2,20.23161691,,0.074074074,,20.7705,0.095238095,20.7705,,,,19.51,20.7655,0.744616667,-112.4068313,20.7705,0.864381137,22.49926227,19.04173773,3.457524548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0,86758.24176,1
5/4/1983,19.89,20.15,19.63,19.8,94400,2.62,0.61,0.738,0.44,0,9.410053493,2.478486457,2.813775678,26.33870741,29.90180321,3.563095802,56.24051062,6.33546133,,20.54666667,0.153846154,20.25487091,20.15777778,0.2,20.14529353,,0.074074074,,20.769,0.095238095,20.67807143,,,,19.86,20.754,0.757266667,-78.70411128,20.769,0.866036373,22.50107275,19.03692725,3.464145493,22.15407143,19.20207143,2.952,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0,86510.98901,1
5/5/1983,19.8,19.89,19.63,19.63,46400,2.6,0.26,0.695,0,0,8.997906815,2.30145171,2.612791701,25.57763441,29.03777239,3.460137978,54.6154068,6.33546133,,20.3875,0.153846154,20.15873693,19.94555556,0.2,20.04223482,,0.074074074,,20.7635,0.095238095,20.5782551,,,,19.71666667,20.747,0.764966667,-89.7933098,20.7635,0.872876137,22.50925227,19.01774773,3.491504547,21.9682551,19.1882551,2.78,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0,86451.64835,0
5/6/1983,19.71,20.76,19.71,20.67,261600,2.74,1.13,0.738,0.87,0,9.485199186,3.007062302,2.426163722,31.70267954,25.57841617,6.124263376,57.28109571,10.69159607,,20.315,0.153846154,20.23739278,19.94555556,0.2,20.16778786,,0.074074074,,20.7925,0.095238095,20.58699271,,,,20.38,20.76583333,0.74425,-34.561266,20.7925,0.859551482,22.51160296,19.07339704,3.438205928,22.06299271,19.11099271,2.952,0,0,0,1,1,,,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0,86493.40659,1
5/9/1983,20.67,20.76,20.41,20.67,84000,2.74,0.35,0.686,0,0,9.157684958,2.792272137,2.252866313,30.49102639,24.60082787,5.890198523,55.09185426,10.69159607,,20.19916667,0.153846154,20.30394774,19.99444444,0.2,20.26823029,,0.074074074,,20.7695,0.095238095,20.59489817,,,,20.61333333,20.753,0.746666667,-12.4702381,20.7695,0.856361343,22.48222269,19.05677731,3.425445373,21.96689817,19.22289817,2.744,0,0,0,0,1,,,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,1,86000,0
5/10/1983,20.58,20.84,20.23,20.32,159200,2.69,0.61,0.678,0,0.18,9.113564604,2.592824128,2.271947291,28.45016457,24.92929375,3.520870819,53.37945831,6.595928341,,20.0975,0.153846154,20.30641732,20.08111111,0.2,20.27858423,,0.074074074,,20.6945,0.095238095,20.56871739,,,,20.46333333,20.69666667,0.713666667,-21.79666822,20.6945,0.826229236,22.34695847,19.04204153,3.304916943,21.92471739,19.21271739,2.712,0,0,0,0,1,,,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0,85884.61538,1
5/11/1983,20.49,20.49,19.45,19.8,315200,2.62,1.04,0.67,0,0.78,9.502595704,2.407622404,2.889665342,25.33647099,30.40922114,5.072750145,55.74569213,9.099806552,,20.025,0.153846154,20.22850696,20.07111111,0.2,20.18286738,20.62692308,0.074074074,20.62692308,20.5805,0.095238095,20.49550621,-0.398416115,,,19.91333333,20.59116667,0.667616667,-67.68687953,20.5805,0.783380335,22.14726067,19.01373933,3.133521342,21.83550621,19.15550621,2.68,0,0,0,0,0,,,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0,85601.0989,1
5/12/1983,19.89,19.89,19.63,19.63,226400,2.6,0.26,0.626,0,0,9.083838868,2.235649375,2.683260674,24.61128393,29.5388405,4.92755657,54.15012443,9.099806552,,19.975,0.153846154,20.13642897,20.02333333,0.2,20.07229391,20.61923077,0.074074074,20.55307692,20.4795,0.095238095,20.41307705,-0.416647955,,,19.71666667,20.49316667,0.637466667,-81.20686049,20.4795,0.769067455,22.01763491,18.94136509,3.076269819,21.66507705,19.16107705,2.504,0,0,0,0,0,,,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0,84761.53846,1
5/13/1983,19.71,20.76,19.71,20.58,186400,2.72,1.13,0.696,0.87,0,9.564993234,2.945960134,2.491599198,30.7993959,26.04914752,4.750248385,56.84854342,8.355972026,,20.06166667,0.153846154,20.20467067,20.07111111,0.2,20.17383513,20.65153846,0.074074074,20.55507123,20.461,0.095238095,20.42897447,-0.35040056,,,20.35,20.453,0.6006,-11.43301143,20.461,0.761944224,21.98488845,18.93711155,3.047776895,21.82097447,19.03697447,2.784,0,0,0,1,1,,,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0,84219.78022,1
5/16/1983,20.41,20.41,20.06,20.23,88000,2.68,0.52,0.678,0,0,9.401779432,2.73553441,2.313627826,29.095922,24.60840358,4.487518423,53.70432558,8.355972026,9.244406923,20.09,0.153846154,20.20856749,20.14777778,0.2,20.1850681,20.65692308,0.074074074,20.53099188,20.4045,0.095238095,20.41002452,-0.322424389,,,20.23333333,20.40666667,0.562333333,-20.54929856,20.4045,0.734591553,21.87368311,18.93531689,2.938366213,21.76602452,19.05402452,2.712,0,0,0,0,1,,,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0,83860.43956,1
5/17/1983,20.41,20.67,20.15,20.23,201600,2.68,0.52,0.643,0.26,0,9.250223758,2.800139095,2.148368696,30.27104175,23.22504571,7.045996038,53.49608745,13.17104927,9.558629741,20.10416667,0.153846154,20.2118648,20.19555556,0.2,20.19405448,20.62230769,0.074074074,20.50869618,20.339,0.095238095,20.39287933,-0.296831385,,,20.35,20.35316667,0.501133333,-0.42126735,20.339,0.687305609,21.71361122,18.96438878,2.749222436,21.67887933,19.10687933,2.572,0,0,0,0,1,,,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0,83761.53846,1
5/18/1983,20.32,20.41,20.06,20.23,92000,2.68,0.35,0.617,0,0.09,8.93949349,2.60012916,2.084913789,29.0858667,23.3225047,5.763362002,52.4083714,10.99702557,9.717565151,20.11083333,0.153846154,20.21465483,20.26222222,0.2,20.20124358,20.56115385,0.074074074,20.48805202,20.2735,0.095238095,20.37736701,-0.273397192,,,20.23333333,20.2895,0.44245,-8.462977612,20.2735,0.629740224,21.53298045,19.01401955,2.518960897,21.61136701,19.14336701,2.468,0,0,0,0,1,,,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0,83447.25275,1
5/19/1983,19.97,20.15,19.37,19.54,79600,2.59,0.86,0.677,0,0.69,9.16095824,2.414405649,2.625991375,26.35538319,28.66502943,2.309646234,55.02041262,4.197798824,9.504134011,20.11083333,0.153846154,20.11086178,20.13666667,0.2,20.06899487,20.46346154,0.074074074,20.41782594,20.1475,0.095238095,20.29761777,-0.306964167,,,19.68666667,20.17666667,0.378666667,-86.26760563,20.1475,0.498014809,21.14352962,19.15147038,1.992059236,21.65161777,18.94361777,2.708,1,0,0,0,0,,,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0,83235.16484,0
5/20/1983,19.54,19.63,19.02,19.63,72800,2.6,0.61,0.625,0,0.35,9.11660408,2.241948102,2.788420563,24.59192132,30.58617593,5.994254614,55.17809725,10.86346741,9.340630981,20.09666667,0.153846154,20.03688304,20.02111111,0.2,19.98119589,20.38576923,0.074074074,20.35946847,20.052,0.095238095,20.23403513,-0.322585424,,,19.42666667,20.06683333,0.33285,-128.2192512,20.052,0.394126883,20.84025377,19.26374623,1.576507532,21.48403513,18.98403513,2.5,1,0,0,0,0,,,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0,83148.35165,0
5/23/1983,19.45,20.15,19.37,20.15,96800,2.67,0.78,0.668,0.52,0,9.245418075,2.601808952,2.589247666,28.1416041,28.00573911,0.135864991,56.14734321,0.241979376,8.216637196,20.14,0.153846154,20.05428565,20.00222222,0.2,20.01495672,20.355,0.074074074,20.34395228,20.026,0.095238095,20.22603178,-0.289666633,-0.330814869,0.041148236,19.89,20.01633333,0.2913,-28.91253767,20.026,0.368841429,20.76368286,19.28831714,1.475365717,21.56203178,18.89003178,2.672,1,0,0,1,1,,,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0,83051.64835,1
5/24/1983,19.97,20.32,19.89,19.97,129600,2.64,0.43,0.65,0.17,0,9.015031069,2.585965455,2.404301404,28.68504208,26.66991811,2.015123967,55.35496019,3.640367476,8.024130492,20.08166667,0.153846154,20.04131863,20.02111111,0.2,20.00596537,20.30153846,0.074074074,20.31625211,20.013,0.095238095,20.2016478,-0.274933487,-0.319638592,0.044705106,20.06,19.999,0.272233333,14.93816579,20.013,0.365993169,20.74498634,19.28101366,1.463972677,21.5016478,18.9016478,2.6,1,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0,82838.46154,1
5/25/1983,20.15,20.67,20.15,20.67,184800,2.74,0.7,0.616,0.35,0,9.071100279,2.751253637,2.232565589,30.32987788,24.61184995,5.718027936,54.94172783,10.40744105,8.314986186,20.08166667,0.153846154,20.13803884,20.13666667,0.2,20.1387723,20.26807692,0.074074074,20.34245566,20.0695,0.095238095,20.24625277,-0.204416823,-0.296594238,0.092177416,20.49666667,20.03383333,0.28755,107.3050098,20.0695,0.375705669,20.82091134,19.31808866,1.502822677,21.47825277,19.01425277,2.464,1,1,1,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,1,82581.31868,1
5/26/1983,20.76,20.76,20.32,20.41,128000,2.7,0.44,0.634,0.09,0,8.863164544,2.64473552,2.073096619,29.83963016,23.39002744,6.449602722,53.22965759,12.11655873,8.416769234,20.08916667,0.153846154,20.17987902,20.11777778,0.2,20.19301784,20.22461538,0.074074074,20.34745895,20.0955,0.095238095,20.26184775,-0.167579928,-0.270791376,0.103211448,20.49666667,20.06716667,0.301216667,95.05892768,20.0955,0.380348196,20.85619639,19.33480361,1.521392783,21.52984775,18.99384775,2.536,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,,0,sell,,sell,,,,,20.23,,20.23,0,0,0,0,0,,1,82119.78022,1
5/27/1983,20.23,20.23,19.45,19.89,338800,2.63,0.96,0.617,0,0.87,9.190081363,2.45582584,2.795018289,26.72256908,30.41342267,3.690853596,57.13599175,6.459769898,8.114495936,20.09666667,0.153846154,20.13528225,20.08,0.2,20.13241427,20.14115385,0.074074074,20.3135731,20.087,0.095238095,20.22643368,-0.178290852,-0.252291272,0.074000419,19.85666667,20.0585,0.309166667,-43.52201258,20.087,0.382937332,20.85287466,19.32112534,1.531749327,21.46043368,18.99243368,2.468,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,0,sell,0,,,,,,19.54,,,0,0,0,0,0,,0,81821.97802,1
5/31/1983,19.54,19.71,18.67,18.67,288800,2.47,1.22,0.687,0,0.78,9.75364698,2.280409709,3.375374125,23.38007223,34.60627735,11.22620512,57.98634958,19.3600825,9.026221233,20.01666667,0.153846154,19.90985421,19.90666667,0.2,19.83993142,20.03076923,0.074074074,20.19182694,20.013,0.095238095,20.0782019,-0.281972735,-0.258227564,-0.023745171,19.01666667,20.0135,0.354166667,-187.6392157,20.013,0.49128505,20.9955701,19.0304299,1.965140199,21.4522019,18.7042019,2.748,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,sell,0,sell,,,,,18.67,,18.67,0,0,0,0,0,,0,80956.04396,1
6/1/1983,18.67,19.37,18.67,19.37,198800,2.56,0.7,0.705,0,0,9.75695791,2.117523301,3.134275973,21.70269997,32.12349589,10.42079593,53.82619586,19.3600825,9.759098087,19.91583333,0.153846154,19.82679971,19.81111111,0.2,19.74594513,19.98076923,0.074074074,20.13095087,20.0045,0.095238095,20.0107541,-0.304151159,-0.267412283,-0.036738875,19.13666667,19.99483333,0.372833333,-153.4495604,20.0045,0.500774151,21.0060483,19.0029517,2.003096603,21.4207541,18.6007541,2.82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sell,0,sell,,,,,19.45,,19.45,0,0,0,0,0,,0,80252.74725,1
